Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" the maneuver that occludes the hepatoduodenal ligament and thus the portal triad- hepatic portal vein, hepatic artery, and common bile duct",Pringle maneuver
 data from this test can present as lung volume over time,Spirometry
 weeks of gestation over which the lip and palate form,5th-6th week of embryonic development
" formed from the fusion of 2 medial nasal prominences; becomes the philtrum of the upper lip, and the primary palate",Intermaxillary segment
 this developmental feature occurs when one of the maxillary prominences fails to fuse with the intermaxillary segment,Unilateral cleft lip
 this developmental feature occurs when BOTH of the maxillary prominences fail to fuse with the intermaxillary segment,Bilateral cleft lip
 this developmental feature occurs when the process of palatine shelves (from the maxillary prominences) fail to fuse,Cleft palate
 characterized by hypoplasia of the mandibular prominence,Micrognathia
 severe micrognathia results in posterior displacement of the tongue and prevents fusion of the secondary palate,Pierre-Robin sequence
 this condition is associated with high QRS voltage on precordial leads,Ventricular hypertrophy
" associated with NO P WAVES, irregularly irregular rhythm with varying R-R intervals; associated with excessive alcohol consumption (""holiday heart syndrome"")",Atrial fibrillation
" this MHC class is loaded following activation of the ubiquitin proteasome pathway, which is carried out by ubiquitin ligases, or enzymes that recognize specific protein substrates and catalyze ubiquitin attachment",MHC Class I
" originates from L1 nerve root, accompanies the spermatic cord through the superficial inguinal ring, provides some sensation to the upper thigh and parts of the external genitalia",Ilioinguinal nerve
 a vertical incision from the posterior vaginal opening to the perineal body; enlarges the vaginal outlet to facilitate delivery; does not involve the anal sphincter or rectal mucosa,Midline episiotomy
" helps with flexion of the hip, extension of the leg; injury results in ""knee buckling"" and loss of patellar reflex",Femoral nerve
" presents with a rapidly spreading, pruritic rash, usually at the flexor surfaces of the wrist, lateral surfaces of the fingers, and finger webs; also associated with a type IV hypersensitivity reaction to mite, mite feces, mite eggs",Sarcoptes scabiei
 this procedure collects fluid from a patient using the iliac crests as a visual guideline of where to do it,Lumbar puncture
 can present as 1wk knee swelling post diarrheal illness,Reactive arthritis
" while produced to stimulate T-cell proliferation, differentiation, as well as growth, it can also activate NK cells, monocytes",IL-2
" associated with meiotic nondisjunction of chromosome 13 in aged mothers; key findings include midline defects (e.g. holoprosencephaly, microphthalmia, cleft lip/palate, omphalocele) as well as polydactyly and cutis aplasia",Patau syndrome
" in addition to primary amenorrhea, it can also present with a cyclic abdominal or pelvic pain due to accumulation of blood, as well as vaginal bulge or mass palpated anterior to the rectum",Imperforate hymen
 is the leading cause of cancer mortality in the US since the 1980s,Lung cancer
 commonly given to pregnant mothers in IgG form to opsinize and prevent an elicitation of immune response to fetal antibodies that cross the placenta; given at 28 weeks and immediately postpartum,Rhesus antigens
" a syndrome of prolonged, repetitive muscle contractions; can present as cervical, blepharospasm, and writer's cramp",Dystonia
" a sudden, brief, sometimes severe (shock-like) muscle contraction; e.g. hiccups and hypnic jerks",Myoclonus
 flinging of the limbs on one side of the body; associated with contralateral inury in or near the subthalamic nucleus,Hemiballism
 can be caused by mutations involving the fas receptor or fas ligand due to inability to prevent apoptosis of autoreactive lymphocytes,Systemic lupus erythematosus (SLE)
 expected Rinne and Weber results for sensorineural hearing loss,"Air conduction > Bone conduction, Weber lateralizes to unaffected ear"
" in addition to the typical low ferritin, low MCV, it is associated with HIGH TRANSFERRIN (aka high TIBC)",Iron deficiency anemia
" associated with an AR organic acidemia, resulting from complete or partial deficiency of methylmalonyl-CoA mutase, which converts methylmalonyl-CoA to Succinyl-CoA; leads to a buidup of methylmalonyl-CoA, proprionyl-CoA which is excreted in urine",Methylmalonyl acidemia
" can present with lethargy, vomiting, tachypnia (acidosis) in newborn; labs show ketotic hypoglycemia, metabolic acidosis; compare to Cori disease, which also includes hepatomegaly with fatty change",Methylmalonyl acidemia
" exotoxin exfolatin from Staph can cause widespread sloughing of the epidermis, even with gentle pressure (Nikolsky's sign)",Scaled-skin syndrome
" aka dipalmatoyl phosphatidlcholine, the one of the major constituents of pulmonary surfactant; the other one being phosphatidylglycerol",Lecithin
 this ratio is good > 2.0 at third trimester; compares a surfactant component with a common membrane phospholipid,Lecithin / Sphingomyelin ratio
 one of the few chromosomal count diseases that can present with relatively mild mental disability,Kleinfelter syndrome
" can present in late adolescence or early adulthood; can also present as unexplained weight loss with fatigue, polydipsia, polyuria",Type 1 diabetes
" in addition to being cause by the classical UTI of chlamydia, this condition can also be precipitated by infection with _Salmonella, Shigella, Yersina, C. diff_",Reactive arthritis
 most common small vessel vasculitis in children; can additionally present with intermittent abdominal pain as well as self-limited migratory arthralgias and arthritis,Henloch-Schlonlein purpura (HSP)
 located near the atrioventricular sulcus; left ventricular leads in biventricular pacemakers course through here,Coronary sinus
" post-MI pericarditis that begins one week to a few months after acute MI; mediated by autoimmune reaction to self-antigens released in injury, compare to early onset pericarditis post-MI, which is an inflammatory reaction of pericardium adjacent to necrotizing cardiac muscle (e.g. leaky pro-inflammatory exudates)",Dressler's syndrome
" increased lung volumes cause length-wise stretching of the pulmonary vessels, increasing their length and reducing their diameter, thereby increasing pulmonary resistance",Inspiration and pulmonary vascular resistance
" decreasing lung volumes cause compression via positive intrathoracic pressure and decreased radial traction from adjacent tissues, thereby increasing pulmonary resistance",Expiration and pulmonary vascular resistance
 the volume at the bottom of a tidal breath; time of lowest pulmonary resistance,Functional residual capacity
 can occur ~14 days after MI due to scar formation leading to conduction abnormalities; death usually follows,Ventricular arrythmia
 these ligaments connect the uterus with the anterior portion of the sacrum,Uterosacro ligaments
" provides general sensory (touch, pain, pressure, temperature) to anterior 2/3rds of tongue",CN V3
 inactive form of thyroid hormone that is generated almost entirely from the peripheral conversion of T4,Reverse T3
" aka synthetic thyroid T3; not usually used due to shorter half-life than levothyroxine; administration results in reduced serum TSH, Reverse T3, and endogenous T4",Liothyronine
 these areas in vasculature have a diastolic pressure of 1-6 mmHg,"Right ventricular diastolic, right atrial, central venous pressure"
 these areas in vasculature have a diastolic pressure of 6-12 mmHg due to resistance in pulmonary circuit,Pulmonary artery diastolic pressure
 these areas in vasculature have a systolic pressure of 25mmHg,"Right ventricular systolic, pulmonary systolic pressure"
